"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-01","31","32","29"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-02","22","32","13"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-03","31","37","25"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-04","37","42","33"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-05","33","39","27"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-06","34","36","32"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-07","29","45","14"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-08","36","46","27"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-09","32","34","30"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-10","20","23","18"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-11","17","27","7"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-12","15","21","9"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-13","16","23","9"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-14","21","34","9"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-15","29","34","24"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-16","28","34","23"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-17","18","28","7"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-18","18","34","3"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-19","4","5","3"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-20","3","5","1"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-21","0","12","-11"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-22","14","34","-6"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-23","31","41","21"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-24","31","32","31"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-25","20","32","9"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-26","14","32","-4"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-27","19","23","16"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-28","14","31","-2"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-29","12","25","0"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-30","0","7","-6"
"CA006155878","OSHAWA WPCP, ON CA","2019-01-31","3","10","-4"
"CA006155878","OSHAWA WPCP, ON CA","2019-02-01","7","25","-11"
"CA006155878","OSHAWA WPCP, ON CA","2019-02-02","21","36","7"
"CA006155878","OSHAWA WPCP, ON CA","2019-02-03","36","43","28"
"CA006155878","OSHAWA WPCP, ON CA","2019-02-04","38","48","28"
"CA006155878","OSHAWA WPCP, ON CA","2019-02-05","30","32","28"
"CA006155878","OSHAWA WPCP, ON CA","2019-02-06","25","30","19"
